business_name,owner_name,email,phone,website,address_street,address_city,address_state,address_zip,lat,lng,certifications,services,years_in_business,insurance_verified,license_number,google_place_id,google_rating,google_reviews_count,business_status,inspector_category,data_source,collected_at,location_verified
MoldPro Inspection Palo Alto,,,(650) 518-7009,,1525 Middlefield Rd,Palo Alto,CA,,37.4427179,-122.1418832,Inspector,Inspection Services,,false,,ChIJzWSETwC7j4ARoOcqqxI5A98,5,1,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:47.895Z,true
California Healthy Home Inspections,,,(415) 828-4700,http://www.ca-hh.com/,1799 Old Bayshore Hwy Suite 241C,Palo Alto,CA,,37.60225270000001,-122.372253,ICA,Home Inspection,,false,,ChIJSaB9MtZ3j4ARDA2ocAYnJJA,5,243,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:48.277Z,true
CalPro Inspection Group,,,(408) 560-4634,https://www.calprogroup.com/,80 Gilman Ave Ste 2B,Palo Alto,CA,,37.2858465,-121.9397116,Inspector,Home Inspection,,false,,ChIJm1PVais1joARjOnFoY8IgBU,4.9,249,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:48.651Z,true
All Bay Home Inspection Inc,,,(650) 858-2600,,Palo Alto,Palo Alto,CA,,37.4177563,-122.1235054,Inspector,Home Inspection,,false,,ChIJVVVVVWG6j4ARKaxkoYcRdBg,,,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:49.005Z,true
Wells Home Inspection LLC,,,(650) 533-6308,,4290 Wilkie Way F,Palo Alto,CA,,37.4087134,-122.1185268,Inspector,Home Inspection,,false,,ChIJ4yhV9A-7j4ARHfNmSf14zLM,,,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:49.357Z,true
Elite Home and Commercial Property Inspections,,,(925) 922-4460,https://elitehcpi.com/,350 Main St Suite H8,Palo Alto,CA,,37.6592941,-121.8761402,ICA,Home Inspection; Property Inspection,,false,,ChIJBUnu3hvpj4ARdGl61hWuCCA,5,39,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:49.736Z,true
MoldTeam Inspection Los Altos,,,(650) 472-5231,,2240 Homestead Ct,Palo Alto,CA,,37.3357838,-122.066385,Inspector,Inspection Services,,false,,ChIJke0SBgC1j4ARXeHAlvRbYLc,5,4,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:50.108Z,true
Bay Area Home Inspections,,,(415) 515-3355,http://www.bayareahomeinspections.com/,551 25th Ave,Palo Alto,CA,,37.7790515,-122.4849569,ICA,Home Inspection; Property Inspection,,false,,ChIJP5sQzTZ-j4ARg7RQjk1oikY,5,159,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:50.479Z,true
MoldTeam Inspection Los Altos,,,(650) 472-5229,,111 Plaza S,Palo Alto,CA,,37.3802422,-122.1156608,ICA,Inspection Services,,false,,ChIJE7l1FACxj4ARrP_CPI1_Was,5,4,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:50.845Z,true
Wayne Home Inspection,,,(415) 769-9619,https://www.waynehomeinspection.com/,20018 Knollwood Dr,Palo Alto,CA,,37.2899128,-122.0239293,Inspector,Home Inspection,,false,,ChIJDYUbQGXMGCYRuRG0iIwOAqY,5,2,OPERATIONAL,Home Inspectors,Google Maps Places API,2025-07-28T09:22:51.222Z,true
